Date,Open,High,Low,Close,Adj Close,Volume
2019-10-30,740.900024,740.900024,726.000000,729.950012,725.223145,647084
2019-10-31,729.900024,748.200012,728.000000,745.099976,740.274963,1070150
2019-11-01,754.000000,775.000000,751.750000,766.299988,761.337708,2369230
2019-11-04,768.200012,769.599976,756.000000,759.950012,755.028870,737810
2019-11-05,762.500000,764.900024,748.349976,754.950012,750.061218,851794
2019-11-06,757.750000,787.599976,740.200012,771.450012,766.454407,4844748
2019-11-07,745.000000,754.150024,735.250000,737.450012,732.674561,6219780
2019-11-08,741.000000,743.000000,715.250000,718.750000,714.095642,1523794
2019-11-11,723.000000,739.849976,721.049988,735.750000,730.985535,1502173
2019-11-13,754.000000,758.799988,727.000000,730.349976,725.620483,3036458
2019-11-14,732.900024,739.799988,720.900024,738.349976,733.568726,932902
2019-11-15,739.849976,747.799988,731.549988,742.250000,737.443481,1106828
2019-11-18,742.299988,759.200012,742.250000,746.549988,741.715637,1357203
2019-11-19,746.799988,754.849976,740.700012,747.700012,742.858215,888623
2019-11-20,752.200012,781.000000,749.099976,777.849976,772.812927,2881427
2019-11-21,783.950012,787.950012,768.700012,771.000000,766.007263,1846584
2019-11-22,775.200012,781.950012,767.200012,772.400024,767.398254,1323663
2019-11-25,774.799988,784.400024,772.000000,781.700012,776.638000,874049
2019-11-26,785.599976,809.000000,782.299988,787.849976,782.748169,6429321
2019-11-27,789.000000,797.700012,782.150024,792.549988,787.417725,1435468
2019-11-28,788.000000,806.000000,788.000000,804.349976,799.141296,1589978
2019-11-29,803.500000,815.000000,796.299988,800.650024,795.465332,3319942
2019-12-02,802.650024,803.450012,790.000000,796.049988,790.895081,1387965
2019-12-03,796.049988,798.650024,783.599976,786.049988,780.959839,628007
2019-12-04,782.000000,793.150024,775.000000,791.900024,786.771973,1552634
